dataset,val_accuracy,experiment
pro-est_vs,0.8957345971563981,data_augmentation/runtime/add_color_jitter_augment/pro-est_vs_met-die_11/resnet_transfer-101-finetune
multistage_experiment,0.7819905213270142,multistage_experiment/BEST_diestrus-colorjitter_transfer-4-to-3
die_vs,0.9146919431279621,data_augmentation/runtime/add_color_jitter_augment/die_vs_all_11/resnet_transfer-101-finetune
die_vs,0.909952606635071,data_augmentation/runtime/random_affine_crop/die_vs_all_11/resnet_transfer-101-finetune
die_vs,0.909952606635071,data_augmentation/runtime/add_color_jitter_augment/die_vs_all_11/resnet_transfer-152-finetune
die_vs,0.8785714285714286,add_exp11a_images/die_vs_all_11+11a_filtered/resnet_transfer-101-finetune
die_vs,0.7962085308056872,model_architecture/num_layers_redo/die_vs_all_11/resnet_transfer-18-finetune
4_class,0.7914691943127962,data_augmentation/runtime/random_affine_crop/4_class_11/resnet_transfer-101-finetune
4_class,0.7819905213270142,data_augmentation/runtime/add_color_jitter_augment_2/4_class_11/resnet_transfer-101-finetune
4_class,0.7819905213270142,multistage_experiment/4_class_11/diestrus-colorjitter_transfer-4-to-3
4_class,0.7819905213270142,data_augmentation/runtime/random_affine_crop_3/4_class_11/resnet_transfer-101-finetune
4_class,0.7772511848341233,data_augmentation/runtime/random_affine_crop/4_class_11/resnet_transfer-152-finetune
4_class,0.7772511848341233,multistage_experiment/4_class_11/diestrus-imagenet_transfer-4-to-3
4_class,0.7582938388625592,data_augmentation/runtime/add_color_jitter_augment/4_class_11/resnet_transfer-101-finetune
4_class,0.7582938388625592,multistage_experiment/4_class_11/both_models_from_imagenet
4_class,0.75,add_exp11a_images/4_class_11+11a_filtered/resnet_transfer-101-finetune
4_class,0.7488151658767772,data_augmentation/runtime/random_affine_crop_2/4_class_11/resnet_transfer-101-finetune
4_class,0.7393364928909952,data_augmentation/runtime/random_affine_crop/4_class_11/resnet_transfer-34-finetune
4_class,0.7331189710610932,add_exp11a_images/4_class_11+11a/resnet_transfer-101-finetune
4_class,0.6966824644549763,model_architecture/num_layers_redo/4_class_11/resnet_transfer-34-finetune
4_class,0.6445497630331753,model_architecture/num_layers_redo/4_class_11/resnet_transfer-101-finetune
4_class,0.6445497630331753,model_architecture/num_layers_redo/4_class_11/resnet_transfer-18-finetune
4_class,0.5971563981042654,model_architecture/num_layers_redo/4_class_11/resnet_transfer-50-finetune
3_class,0.6593406593406593,data_augmentation/runtime/add_color_jitter_transfer/3_class_11/resnet_transfer-101-finetune
3_class,0.6593406593406593,data_augmentation/runtime/random_affine_crop/3_class_11/transfer_from_4_class/3_class_11/resnet_transfer-101-finetune
3_class,0.6263736263736264,data_augmentation/runtime/add_color_jitter_transfer_2/3_class_11/resnet_transfer-101-finetune
3_class,0.6043956043956044,data_augmentation/runtime/add_color_jitter_augment/3_class_11/resnet_transfer-101-finetune
3_class,0.6043956043956044,data_augmentation/runtime/random_affine_crop/3_class_11/resnet_transfer-101-finetune
