steps,loss,train_acc,val_acc
329,0.4965815769003229,0.7803643724696356,0.8867924528301886
658,0.4005223597109559,0.8208502024291499,0.9009433962264151
988,0.36452407196827746,0.8329959514170041,0.8632075471698113
1317,0.3210385007715901,0.868421052631579,0.8915094339622641
1646,0.29148317973020105,0.8714574898785425,0.9056603773584906
1976,0.26786379920326264,0.8977732793522267,0.8632075471698113
2305,0.2754080154082779,0.8856275303643725,0.9009433962264151
2634,0.25636854952555677,0.8977732793522267,0.8962264150943395
2964,0.2581124042692455,0.8967611336032388,0.9009433962264151
3293,0.24703629688182582,0.8947368421052632,0.8962264150943395
