epoch,loss,train_acc,val_acc
1,0.978342304533087,0.6382754994742377,0.6292682926829268
2,0.8230437784446902,0.6982124079915878,0.4634146341463415
3,0.7785818646069456,0.6813880126182965,0.40487804878048783
4,0.7491787366341842,0.722397476340694,0.4926829268292683
5,0.7773969786400299,0.7150368033648791,0.5463414634146342
6,0.7123178671242436,0.7413249211356467,0.3804878048780488
7,0.6861651278601335,0.729758149316509,0.5024390243902439
8,0.562083625188636,0.8033648790746583,0.4634146341463415
9,0.5510897184443022,0.786540483701367,0.44390243902439025
10,0.5534137150529306,0.7991587802313355,0.5170731707317073
11,0.5456332628909972,0.8002103049421662,0.4926829268292683
12,0.5686276906672336,0.7991587802313355,0.4585365853658537
13,0.5793866254741837,0.7928496319663512,0.47317073170731705
14,0.546859603817844,0.7981072555205048,0.5024390243902439
15,0.516101935402452,0.8138801261829653,0.5219512195121951
16,0.4838175286316596,0.8275499474237644,0.4682926829268293
17,0.554211995516415,0.8023133543638276,0.44390243902439025
18,0.5283116544866161,0.8054679284963197,0.47317073170731705
19,0.5602022285184399,0.8096740273396424,0.5121951219512195
20,0.5318838730062722,0.804416403785489,0.5560975609756098
21,0.5317983478151035,0.8086225026288117,0.5317073170731708
22,0.5168578316595652,0.8096740273396424,0.48292682926829267
23,0.521306458081106,0.7991587802313355,0.5365853658536586
24,0.49463267792035853,0.8233438485804416,0.4926829268292683
25,0.523523964199358,0.8023133543638276,0.48292682926829267
26,0.5151699227912568,0.8002103049421662,0.4926829268292683
27,0.5468951242610608,0.8054679284963197,0.526829268292683
28,0.5308790650810228,0.7981072555205048,0.5219512195121951
29,0.4739930508452635,0.825446898002103,0.4926829268292683
30,0.48030755151020116,0.832807570977918,0.5463414634146342
31,0.5104675760686586,0.8107255520504731,0.44390243902439025
32,0.5163317028625029,0.8138801261829653,0.5609756097560976
33,0.5302190734729657,0.8096740273396424,0.5073170731707317
34,0.5424253136295626,0.8191377497371188,0.526829268292683
35,0.5083174116196567,0.807570977917981,0.5463414634146342
36,0.5169273243842942,0.8065194532071503,0.551219512195122
37,0.523086745186183,0.8128286014721346,0.5414634146341464
38,0.5405761662216467,0.807570977917981,0.45365853658536587
39,0.47697227983319296,0.8233438485804416,0.5170731707317073
40,0.5026105571338431,0.8191377497371188,0.4878048780487805
41,0.5405776815177514,0.814931650893796,0.4975609756097561
42,0.5297751140895326,0.8096740273396424,0.551219512195122
43,0.5214429051624112,0.8170347003154574,0.5658536585365853
44,0.5280067329613255,0.814931650893796,0.5219512195121951
45,0.4974429592349176,0.8138801261829653,0.5707317073170731
46,0.4798767941168555,0.8222923238696109,0.5317073170731708
47,0.505688974643606,0.8191377497371188,0.48292682926829267
48,0.536699792626779,0.8033648790746583,0.5414634146341464
49,0.5503622523649007,0.8033648790746583,0.526829268292683
50,0.5272218878728608,0.8086225026288117,0.5365853658536586
